date,value
2002-05,1.23
2002-06,0.64
2002-07,3.60
2002-08,7.36
2002-09,-1.03
2002-10,2.61
2002-11,-0.12
2002-12,-1.73
2003-01,-0.60
2003-02,4.82
2003-03,-4.13
2003-04,5.63
2003-05,7.15
2003-06,0.66
2003-07,1.65
2003-08,-5.85
2003-09,11.12
2003-10,4.90
2003-11,1.28
2003-12,0.76
2004-01,2.53
2004-02,-2.43
2004-03,1.77
2004-04,-3.66
2004-05,2.74
2004-06,-2.55
2004-07,4.53
2004-08,-0.04
2004-09,1.71
2004-10,13.82
2004-11,4.12
2004-12,1.71
2005-01,0.70
2005-02,-4.18
2005-03,5.38
2005-04,7.71
2005-05,0.79
2005-06,8.05
2005-07,-0.01
2005-08,-7.48
2005-09,-2.44
2005-10,-4.26
2005-11,-0.74
2005-12,3.32
2006-01,-3.68
2006-02,0.14
2006-03,1.40
2006-04,-2.80
2006-05,-3.59
2006-06,0.89
2006-07,4.43
2006-08,-2.21
2006-09,-2.88
2006-10,-0.14
2006-11,1.80
2006-12,-1.94
2007-01,-1.00
2007-02,-0.54
2007-03,-4.39
2007-04,-0.30
2007-05,-2.02
2007-06,7.63
2007-07,-1.83
2007-08,2.56
2007-09,2.21
2007-10,-4.53
2007-11,-5.12
2007-12,-1.50
2008-01,3.48
2008-02,-2.08
2008-03,-2.45
2008-04,-12.55
2008-05,-1.29
2008-06,1.91
2008-07,2.50
2008-08,2.43
2008-09,-0.98
2008-10,-0.52
2008-11,4.25
2008-12,-0.11
2009-01,-9.86
2009-02,5.09
2009-03,-4.35
2009-04,6.69
2009-05,8.12
2009-06,3.93
2009-07,4.57
2009-08,8.86
2009-09,-4.46
2009-10,1.64
2009-11,1.58
2009-12,-3.85
2010-01,9.55
2010-02,-2.11
2010-03,-2.79
2010-04,1.70
2010-05,5.14
2010-06,-2.20
2010-07,-2.20
2010-08,2.77
2010-09,-5.92
2010-10,-2.98
2010-11,-3.27
2010-12,-1.45
2011-01,-0.14
2011-02,8.80
2011-03,4.58
2011-04,0.60
2011-05,-0.51
2011-06,4.43
2011-07,2.43
2011-08,4.51
2011-09,6.71
2011-10,-4.04
2011-11,-9.64
2011-12,0.40
2012-01,0.86
2012-02,1.79
2012-03,-2.19
2012-04,-0.55
2012-05,3.01
2012-06,3.26
2012-07,6.49
2012-08,-9.25
2012-09,-6.92
2012-10,7.08
2012-11,3.24
2012-12,4.07
2013-01,-0.78
2013-02,-1.63
2013-03,1.40
2013-04,-3.73
2013-05,-6.39
2013-06,-4.50
2013-07,1.02
2013-08,3.37
2013-09,7.93
2013-10,2.17
2013-11,2.63
2013-12,8.10
2014-01,-2.99
2014-02,-3.82
2014-03,-1.92
2014-04,0.07
2014-05,9.60
2014-06,-1.07
2014-07,6.38
2014-08,-1.63
2014-09,2.71
2014-10,3.57
2014-11,2.90
2014-12,3.88
2015-01,-2.60
2015-02,7.05
2015-03,4.91
2015-04,-2.66
2015-05,2.78
2015-06,-4.33
2015-07,0.93
2015-08,-4.77
2015-09,3.73
2015-10,13.84
2015-11,7.12
2015-12,3.79
2016-01,-3.56
2016-02,2.21
2016-03,5.83
2016-04,0.10
2016-05,1.08
2016-06,-7.12
2016-07,-3.35
2016-08,-7.82
2016-09,9.12
2016-10,2.63
2016-11,3.76
2016-12,-0.41
2017-01,-6.07
2017-02,1.29
2017-03,-2.36
2017-04,-3.86
2017-05,0.75
2017-06,0.99
2017-07,-0.31
2017-08,-2.98
2017-09,-3.94
2017-10,0.53
2017-11,6.00
2017-12,-6.72
2018-01,-2.46
2018-02,-0.23
2018-03,-0.21
2018-04,-2.17
2018-05,9.18
2018-06,2.30
2018-07,-3.93
2018-08,-7.97
2018-09,-0.27
2018-10,7.16
2018-11,1.37
2018-12,-9.92
2019-01,-5.70
2019-02,1.05
2019-03,5.30
2019-04,1.13
2019-05,1.17
2019-06,5.33
2019-07,6.15
2019-08,-2.54
2019-09,2.47
2019-10,-3.81
2019-11,-4.34
2019-12,3.15
